X,Y,Cota,temp,hr,tdet,v,COD,temp,hr,v,dir,rad,dir_deg
631023,4177172,236,13.3,55.5,3.4216000000000015,1.4,AL31,13.3,55.5,1.4,O,155.9,250.4
639400,4183940,169,12.4,54.4,2.1464,1.7,AL41,12.4,54.4,1.7,SO,181.7,220.5
648642,4195008,125,13.3,58.3,2.8000000000000007,1.3,AL52,13.3,58.3,1.3,O,163.6,256.7
641224,4158438,94,14.1,55.6,3.4263999999999992,1.3,AL62,14.1,55.6,1.3,NO,166.4,323.8
643080,4164288,112,12.9,58.4,2.3272000000000013,1.1,AL91,12.9,58.4,1.1,SO,166.8,222.9
680675,4173267,30,14.6,52.7,3.5679999999999996,1.0,CA12,14.6,52.7,1.0,SO,175.1,222.1
665200,4188754,227,15.3,48.7,5.3712,2.1,CA21,15.3,48.7,2.1,O,175.9,265.6
664813,4179533,138,14.2,55.6,3.7728,1.3,CA42,14.2,55.6,1.3,SO,169.9,243.4
670129,4171693,84,15.1,54.1,4.3704,2.1,CA52,15.1,54.1,2.1,SO,164.3,238.2
693847,4164941,92,16.6,50.0,5.915200000000002,1.4,CA73,16.6,50.0,1.4,O,165.6,269.5
655332,4173881,175,13.8,52.6,3.58,0.9,CA91,13.8,52.6,0.9,SO,178.1,236.2
647931,4233289,282,15.7,37.3,6.0792,1.3,CI22,15.7,37.3,1.3,NO,183.7,318.2
652564,4228485,236,14.4,47.2,4.521600000000001,1.9,CI32,14.4,47.2,1.9,O,177.7,285.9
631510,4238383,244,12.4,57.5,2.5664,0.5,CI42,12.4,57.5,0.5,O,178.7,252.7
614203,4234746,275,12.2,50.1,2.539999999999999,0.7,CI52,12.2,50.1,0.7,NO,172.3,326.8
623780,4236664,282,12.9,53.6,3.2792000000000012,0.8,CI71,12.9,53.6,0.8,O,155.6,260.2
589496,4211178,869,8.6,50.4,2.2664,0.8,CR12,8.6,50.4,0.8,SO,166.9,228.4
615466,4218939,433,9.5,54.3,0.7248000000000001,0.4,CR32,9.5,54.3,0.4,S,175.0,196.6
603922,4228300,456,11.1,51.4,2.4536,1.5,CR42,11.1,51.4,1.5,S,168.5,160.7
606972,4218110,507,10.8,52.2,2.4392000000000014,0.4,CR52,10.8,52.2,0.4,SE,176.1,131.7
579236,4218905,1232,9.9,47.1,5.599200000000001,1.5,CR61,9.9,47.1,1.5,,166.9,228.4
637690,4250801,395,12.4,49.4,3.412000000000001,1.3,JU12,12.4,49.4,1.3,N,175.4,342.9
657843,4280492,658,9.0,63.1,1.4848,1.5,JU42,9.0,63.1,1.5,NO,161.3,305.0
653633,4250840,401,12.5,49.3,3.5456000000000003,2.3,JU71,12.5,49.3,2.3,N,178.0,1.6
620981,4162511,324,12.3,61.5,2.9144000000000005,1.5,LO11,12.3,61.5,1.5,SE,148.5,139.2
615444,4151563,356,12.3,63.1,3.0936000000000003,1.9,LO21,12.3,63.1,1.9,E,165.8,95.8
624577,4142248,31,15.5,54.2,4.473599999999999,1.1,LO31,15.5,54.2,1.1,NO,143.5,292.7
604000,4190456,693,10.0,56.1,2.6808000000000005,1.3,LO41,10.0,56.1,1.3,NE,172.9,49.1
621649,4149877,329,13.9,53.7,4.542400000000001,2.0,LO51,13.9,53.7,2.0,E,169.8,67.8
612515,4161142,319,11.5,55.8,2.0863999999999994,1.1,LO61,11.5,55.8,1.1,SO,160.9,208.5
637771,4214288,264,14.9,44.5,5.1784,1.2,ML12,14.9,44.5,1.2,,189.8,245.1
634545,4211477,276,13.4,44.4,3.7455999999999996,1.1,ML21,13.4,44.4,1.1,SO,189.8,245.1
649024,4207948,161,15.3,45.3,5.001600000000002,1.6,MO12,15.3,45.3,1.6,SO,166.8,243.0
655954,4221455,146,15.0,41.9,4.6175999999999995,1.6,MO22,15.0,41.9,1.6,NO,177.2,297.4
654935,4215181,80,13.4,55.1,2.6479999999999997,0.5,MO31,13.4,55.1,0.5,NO,171.9,296.7
669458,4226450,162,14.5,44.5,4.2072,1.3,MO41,14.5,44.5,1.3,O,173.6,265.4
661841,4225294,197,14.9,48.3,4.8032,1.3,MO51,14.9,48.3,1.3,O,166.1,272.2
645574,4219690,206,16.3,42.9,6.2536000000000005,0.7,MO62,16.3,42.9,0.7,NE,105.2,46.8
675540,4211532,27,14.7,54.1,3.6511999999999993,1.0,MU21,14.7,54.1,1.0,SO,180.2,237.9
652257,4195930,140,14.8,51.8,4.384,1.1,MU31,14.8,51.8,1.1,O,155.1,248.8
677062,4205239,125,15.8,44.4,5.300000000000001,1.6,MU52,15.8,44.4,1.6,O,172.5,253.3
663907,4200807,56,15.6,42.2,4.7136,0.6,MU62,15.6,42.2,0.6,SO,173.9,210.5
691976,4184939,7,14.9,52.7,3.7392000000000003,1.2,TP22,14.9,52.7,1.2,O,173.3,249.0
685074,4182798,31,14.9,57.2,3.8735999999999997,2.0,TP42,14.9,57.2,2.0,O,169.4,252.5
686200,4191066,91,15.6,46.2,4.909599999999999,1.9,TP52,15.6,46.2,1.9,O,183.3,272.5
682041,4188284,92,14.9,48.7,4.215200000000001,2.5,TP73,14.9,48.7,2.5,O,177.2,255.0
677368,4179725,56,14.4,61.2,3.5136000000000003,1.1,TP91,14.4,61.2,1.1,SO,174.5,243.0
